session_id,test_version,session_median_predicted,session_mean,n_trials
23a477dd-d8b8-42c6-adbe-47f39ed77952,1,4.653249263763428,5.2155825853347775,30
2a298ece-1693-424d-9d70-7988e3c23aa6,1,4.947077512741089,5.16619947552681,16
3e4a23a8-c0e7-4ce7-ae53-eeaf9f4c0fd5,1,3.615377426147461,4.008493466587628,85
74500da8-b16d-48c9-a573-2b507d395bbb,1,4.921845436096191,6.714172942297799,14
84a32360-b241-415e-9626-55dddd442162,1,4.015012145042419,5.0476639441081455,28
99ea5a4e-5011-47ee-823c-56fdacec63f5,1,5.646876335144043,6.179200724551552,19
ad87efc0-28f6-4acc-8ec2-a5f449e974bc,1,5.688884258270264,6.148202123401834,139
c9a0db8e-8359-4a36-8e49-5080627736e3,1,5.609254837036133,5.913939802085652,68
f59e9a00-0a45-4497-8048-818cd5f48267,1,5.7663984298706055,5.776141079989347,33
359314b3-5a7c-4dd0-b813-6d8344c62062,2,5.170925140380859,5.502521134912968,48
396f53e6-e4aa-4d49-861d-5cab0e380592,2,4.2801361083984375,4.739913859734169,65
52c3627d-635c-44b0-8eca-f1a6c372019d,2,7.449304580688477,7.631278840506949,41
957d4d90-5e33-448f-8662-9a27f6f2b66c,2,4.549803256988525,4.797767743468285,32
c488b456-7651-4424-8cc9-8f81ed92e0e2,2,5.044199466705322,5.332795048868934,129
dfb19734-6102-44df-8e11-9947e134eeb2,2,4.270406246185303,4.778322251637777,45
f43c63f7-4814-4cda-8fb8-a6a19cfbc342,2,3.6404823064804077,4.111431438671915,38
