session_id,test_version,session_median_metric,session_mean_metric,n_rows
23a477dd-d8b8-42c6-adbe-47f39ed77952,1,6.400183486238532,6.935434646962072,270
2a298ece-1693-424d-9d70-7988e3c23aa6,1,7.375377777777779,9.139713194563155,189
3e4a23a8-c0e7-4ce7-ae53-eeaf9f4c0fd5,1,6.493249394673123,7.575895133996886,723
74500da8-b16d-48c9-a573-2b507d395bbb,1,7.135314861460957,9.105912353163664,147
84a32360-b241-415e-9626-55dddd442162,1,6.783733966745843,8.027379882034094,263
99ea5a4e-5011-47ee-823c-56fdacec63f5,1,5.5594044265593565,8.264947268477162,182
ad87efc0-28f6-4acc-8ec2-a5f449e974bc,1,6.4423087248322135,6.853820189345036,1379
c9a0db8e-8359-4a36-8e49-5080627736e3,1,5.839111111111111,6.37599789321473,535
f59e9a00-0a45-4497-8048-818cd5f48267,1,7.115862068965516,7.38094521456031,297
359314b3-5a7c-4dd0-b813-6d8344c62062,2,5.59876160990712,6.366683549411053,450
396f53e6-e4aa-4d49-861d-5cab0e380592,2,5.001703971119134,5.53591666215086,538
52c3627d-635c-44b0-8eca-f1a6c372019d,2,9.002653846153846,9.390768599016234,518
957d4d90-5e33-448f-8662-9a27f6f2b66c,2,5.3772876611833755,6.330512223148478,282
c488b456-7651-4424-8cc9-8f81ed92e0e2,2,4.732645161290323,5.045826240033722,988
dfb19734-6102-44df-8e11-9947e134eeb2,2,5.826953846153847,6.347639438280377,395
f43c63f7-4814-4cda-8fb8-a6a19cfbc342,2,5.135558620689655,6.585317478581838,338
