timestamp,tp9,af7,af8,tp10,hr
1729906322.007,966.309,901.367,-29.297,-411.133,0.000
1729906322.011,-62.012,445.801,34.668,-1000.000,0.000
1729906322.015,-1000.000,-748.535,-231.934,-414.551,0.000
1729906322.019,-937.500,-707.520,-287.109,-937.012,0.000
1729906322.023,554.199,511.719,-59.082,156.250,0.000
1729906322.026,316.406,660.156,71.777,-1000.000,0.000
1729906322.030,-1000.000,-632.324,-265.137,-916.016,0.000
1729906322.034,-1000.000,-963.867,-307.617,646.484,0.000
1729906322.038,72.266,108.887,-138.184,307.129,0.000
1729906322.042,516.113,931.641,135.254,-1000.000,0.000
1729906322.046,-937.500,-273.926,-169.434,-1000.000,0.000
1729906322.050,-1000.000,-1000.000,-335.449,97.656,0.000
1729906322.054,-144.531,-274.414,-306.641,648.926,0.000
1729906322.058,959.961,-899.902,10.254,-874.023,0.000
1729906322.062,-384.766,165.039,-69.336,-1000.000,0.000
1729906322.065,-1000.000,-1000.000,-326.172,-180.176,0.000
1729906322.069,-472.656,-700.684,-349.121,-912.598,0.000
1729906322.073,-965.820,884.277,22.461,-142.090,0.000
1729906322.077,142.090,402.832,78.613,-1000.000,0.000
1729906322.081,-1000.000,-1000.000,-349.609,-480.957,0.000
1729906322.085,-1000.000,-1000.000,-490.723,-943.359,0.000
1729906322.089,473.145,231.934,-178.711,256.836,0.000
1729906322.093,313.477,708.496,80.566,-1000.000,0.000
1729906322.097,-1000.000,-706.543,-299.316,-1000.000,0.000
1729906322.101,-1000.000,-1000.000,-353.027,499.023,0.000
1729906322.105,-51.758,-135.742,-211.426,376.465,0.000
1729906322.108,551.758,964.355,111.328,-1000.000,0.000
1729906322.112,-885.742,-289.062,-205.078,-1000.000,0.000
1729906322.116,-1000.000,-1000.000,-446.289,-45.410,0.000
1729906322.120,-190.430,-415.527,-339.844,750.000,0.000
1729906322.124,-975.098,-938.965,5.859,-728.027,0.000
1729906322.128,-248.047,156.250,-72.266,-1000.000,0.000
1729906322.132,-1000.000,-1000.000,-383.301,-184.570,0.000
1729906322.136,-668.945,-911.133,-408.203,-891.113,0.000
1729906322.140,892.090,629.883,-43.945,-47.363,0.000
1729906322.144,222.656,366.699,-27.832,-1000.000,0.000
1729906322.147,-1000.000,-1000.000,-452.637,-604.492,0.000
1729906322.151,-1000.000,-1000.000,-423.340,989.746,0.000
1729906322.155,248.047,29.785,-161.133,266.113,0.000
1729906322.159,312.500,720.215,75.195,-1000.000,0.000
1729906322.163,-1000.000,-659.180,-278.320,-1000.000,0.000
1729906322.167,-1000.000,-1000.000,-417.480,318.848,0.000
1729906322.171,-69.824,-198.242,-306.152,471.191,0.000
1729906322.175,593.262,977.051,-97.656,-997.070,0.000
1729906322.179,-844.238,-213.379,-306.641,-1000.000,0.000
