session_id,test_version,session_spearman_true,trend_p_value_true,session_mean_true,session_median_true,n_trials_true,first_value_true,last_value_true,delta_last_minus_first_true,session_spearman_predicted,trend_p_value_predicted,session_mean_predicted,session_median_predicted,n_trials_predicted,first_value_predicted,last_value_predicted,delta_last_minus_first_predicted
23a477dd-d8b8-42c6-adbe-47f39ed77952,1,-0.21735261401557288,0.24859783216056738,5.930634365256797,5.7753491564197885,30,5.909538461538462,7.008736842105263,1.0991983805668006,-0.10700778642936595,0.5735565182059499,5.2155825853347775,4.653249263763428,30,5.925415992736816,7.2802348136901855,1.3548188209533691
2a298ece-1693-424d-9d70-7988e3c23aa6,1,0.2352941176470588,0.38035580118865675,7.215590558288895,5.772815707273539,16,5.178265895953757,15.005,9.826734104046244,0.1176470588235294,0.6643410791623536,5.16619947552681,4.947077512741089,16,4.487344264984131,4.714198589324951,0.2268543243408203
3e4a23a8-c0e7-4ce7-ae53-eeaf9f4c0fd5,1,0.0982997850302912,0.37077063113764774,5.813330789039123,5.282232558139536,85,8.74195744680851,9.236296593186372,0.4943391463778628,0.23439515341020128,0.030834922646899743,4.008493466587628,3.615377426147461,85,6.811164855957031,8.765012741088867,1.953847885131836
74500da8-b16d-48c9-a573-2b507d395bbb,1,0.23956043956043957,0.4094298928517326,7.462119905976203,6.641988977013039,14,6.8517919075144516,14.374823956442832,7.52303204892838,0.22637362637362637,0.4364347945560526,6.714172942297799,4.921845436096191,14,4.846954345703125,15.780783653259276,10.93382930755615
84a32360-b241-415e-9626-55dddd442162,1,-0.20306513409961688,0.30002598489473004,6.172647639780264,5.713847265221878,28,10.99621505376344,3.3299495798319327,-7.666265473931507,-0.13026819923371646,0.5087973091567661,5.0476639441081455,4.015012145042419,28,11.183009147644045,2.5945441722869873,-8.588464975357057
99ea5a4e-5011-47ee-823c-56fdacec63f5,1,0.4789473684210526,0.03801713769979688,6.253117137206088,5.113263157894736,19,5.113263157894736,15.503154598825832,10.389891440931095,0.431578947368421,0.06502990156827808,6.179200724551552,5.646876335144043,19,6.934110641479492,13.764501571655272,6.8303909301757795
ad87efc0-28f6-4acc-8ec2-a5f449e974bc,1,-0.0928593770945976,0.2769215796601747,6.049233597056224,5.670212943632568,139,5.046189781021898,7.713142857142857,2.6669530761209588,-0.08921310156843468,0.29630358707298815,6.148202123401834,5.688884258270264,139,8.517587661743164,6.295745372772217,-2.2218422889709473
c9a0db8e-8359-4a36-8e49-5080627736e3,1,-0.22071229530098865,0.07050182408072467,5.3197141721123815,5.194742217771779,68,13.357440000000002,5.956545961002785,-7.400894038997217,-0.1833034316906516,0.1345900038678188,5.913939802085652,5.609254837036133,68,7.962855339050293,5.448470115661621,-2.514385223388672
f59e9a00-0a45-4497-8048-818cd5f48267,1,0.14037433155080214,0.43588204030405986,5.921932295737918,5.004566929133858,33,7.115862068965516,10.507438914027148,3.391576845061632,0.008355614973262033,0.9631912536997345,5.776141079989347,5.7663984298706055,33,6.075572490692139,9.761730194091797,3.686157703399658
359314b3-5a7c-4dd0-b813-6d8344c62062,2,-0.07696482848458532,0.6031022232297355,5.504744775960315,5.362051814111471,48,3.3654634146341467,13.751597765363128,10.38613435072898,0.3260963960052106,0.023701594777660245,5.502521134912968,5.170925140380859,48,2.621441125869751,10.940260887145996,8.318819761276245
396f53e6-e4aa-4d49-861d-5cab0e380592,2,-0.0031468531468531466,0.980151861941928,4.699348918006569,4.442166666666667,65,5.718794520547945,10.27812283464567,4.5593283140977245,0.26966783216783213,0.02982813515838139,4.739913859734169,4.2801361083984375,65,7.094799041748047,10.277670860290527,3.1828718185424805
52c3627d-635c-44b0-8eca-f1a6c372019d,2,-0.1844947735191638,0.2481905571451058,7.249404273443201,6.500377358490567,41,3.761161524500907,12.285785831960462,8.524624307459554,-0.14634146341463417,0.3612463191667279,7.631278840506949,7.449304580688477,41,4.204004287719727,8.907159805297852,4.703155517578125
957d4d90-5e33-448f-8662-9a27f6f2b66c,2,-0.052419354838709666,0.7757001881259232,5.198936180602324,4.539229013315689,32,6.7384297994269335,13.85086153846154,7.112431739034607,0.03225806451612903,0.8608718454903039,4.797767743468285,4.549803256988525,32,5.91602897644043,11.693853378295898,5.777824401855469
c488b456-7651-4424-8cc9-8f81ed92e0e2,2,-0.36365161001788915,2.274867613993543e-05,4.178360632507199,3.8264138851802407,129,5.862047244094489,6.645347536617843,0.7833002925233536,0.04460532200357782,0.6157112108637611,5.332795048868934,5.044199466705322,129,3.8742916584014897,8.543581008911133,4.6692893505096436
dfb19734-6102-44df-8e11-9947e134eeb2,2,0.09802371541501975,0.5217795184658374,5.352329188024204,4.855200000000001,45,2.4103887775551103,13.30408602150538,10.893697243950271,0.15401844532279316,0.3124202684798448,4.778322251637777,4.270406246185303,45,3.0427052974700928,10.906633377075195,7.8639280796051025
f43c63f7-4814-4cda-8fb8-a6a19cfbc342,2,-0.3176496334391071,0.051970678326756795,5.474446692453201,4.728446516402207,38,11.039402985074624,4.232531418312387,-6.806871566762236,-0.08523908523908524,0.6108755817078022,4.111431438671915,3.6404823064804077,38,11.228487968444824,4.233650207519531,-6.994837760925293
